TABLE,COLUMN
ASMD,MEINS
ASMD,ASTYP
ASMD,PAKNR
ASMD,EAN11
ASMD,NUMTP
ASMD,SPART
ASMD,BEGRU
ASMD,MSTAE
ASMD,MSTDE
ASMD,BKLAS
ASMD,LSTHI
ASMD,MLANG
ASMD,LGART
ASMD,LBNUM
ASMD,AUSGB
ASMD,STLVPOS
ASMD,TAXIM
ASMD,IWUMZ
ASMD,IWUMN
ASMD,IWEIN
ASMD,FORMELNR
ASMD,CHGTEXT
ASMD,IMAGE_URL
ASMD,ZZGHPC
ASMD,TAXTARIFFCODE
ASMDT,MANDT
ASMDT,ASNUM
ASMDT,SPRAS
ASMDT,ASKTX
ASMDT,KZLTX
ASMDT,TXASP
AUAK,MANDT
AUAK,BELNR
AUAK,KOKRS
AUAK,BUDAT
AUAK,BZDAT
AUAK,CPUDT
AUAK,WSDAT
AUAK,KURST
AUAK,GJAHR
AUAK,PERIO
AUAK,PERBZ
AUAK,OBJNR
AUAK,STFLG
AUAK,STBEL
AUAK,STOKZ
AUAK,ABSCH
AUAK,URSCH
AUAK,GMENG
AUAK,GEINH
AUAK,ANALG
AUAK,ABRNR
AUAK,KSTAR
AUAK,ERSCH
AUAK,SAPRL
AUAK,AWSYS
AUAK,CO_VAART
AUAK,BUPERIO
AUAK,BUGJAHR
AUAK,TIMESTMP
AUAK,PERIO_F
AUAK,PERIO_T
AUAK,VERSN
AUAK,WRTTP
AUAK,BLDAT
AUFK,MANDT
AUFK,AUFNR
AUFK,AUART
AUFK,AUTYP
AUFK,REFNR
AUFK,ERNAM
AUFK,ERDAT
AUFK,AENAM
AUFK,AEDAT
AUFK,KTEXT
AUFK,LTEXT
AUFK,BUKRS
AUFK,WERKS
AUFK,GSBER
AUFK,KOKRS
AUFK,CCKEY
AUFK,KOSTV
AUFK,STORT
AUFK,SOWRK
AUFK,ASTKZ
AUFK,WAERS
AUFK,ASTNR
AUFK,STDAT
AUFK,ESTNR
AUFK,PHAS0
AUFK,PHAS1
AUFK,PHAS2
AUFK,PHAS3
AUFK,PDAT1
AUFK,PDAT2
AUFK,PDAT3
AUFK,IDAT1
AUFK,IDAT2
AUFK,IDAT3
AUFK,OBJID
AUFK,VOGRP
AUFK,LOEKZ
AUFK,PLGKZ
AUFK,KVEWE
AUFK,KAPPL
AUFK,KALSM
AUFK,ZSCHL
AUFK,ABKRS
AUFK,KSTAR
AUFK,KOSTL
AUFK,SAKNR
AUFK,SETNM
AUFK,CYCLE
AUFK,SDATE
AUFK,SEQNR
AUFK,USER0
AUFK,USER1
AUFK,USER2
AUFK,USER3
AUFK,USER4
AUFK,USER5
AUFK,USER6
AUFK,USER7
AUFK,USER8
AUFK,USER9
AUFK,OBJNR
AUFK,PRCTR
AUFK,PSPEL
AUFK,AWSLS
AUFK,ABGSL
AUFK,TXJCD
AUFK,FUNC_AREA
AUFK,SCOPE
AUFK,PLINT
AUFK,KDAUF
AUFK,KDPOS
AUFK,AUFEX
AUFK,IVPRO
AUFK,LOGSYSTEM
AUFK,FLG_MLTPS
AUFK,ABUKR
AUFK,AKSTL
AUFK,SIZECL
AUFK,IZWEK
AUFK,UMWKZ
AUFK,KSTEMPF
AUFK,ZSCHM
AUFK,PKOSA
AUFK,ANFAUFNR
AUFK,PROCNR
AUFK,PROTY
AUFK,RSORD
AUFK,BEMOT
AUFK,ADRNRA
AUFK,ERFZEIT
AUFK,AEZEIT
AUFK,CSTG_VRNT
AUFK,COSTESTNR
AUFK,VERAA_USER
AUFK,ZPM_PROJEKT
AUFK,ZPM_PROJFEL
AUFK,ZPM_RSZAMLA
AUFK,ZZPM_RENDENG
AUFK,ZZPM_RENDENG1
AUFK,ZZPM_RENDENG2
AUFK,ZZPM_RENDENG3
AUFK,ZZPM_VISSZAUT
AUFK,ZZPM_CLINT
AUFK,ZZPM_ZBB
AUFK,ZZPM_SCT
AUFK,ZZPM_RENDENGL
AUFK,ZZPM_FELKOD
AUFK,ZZPM_RENDENGKTD
AUFK,ZZPM_SETTLTYPE
AUFK,ZZPM_GYUJTO
AUFK,ZZPM_OFFERTYPE
AUFK,ZZWARRANTY
AUFK,ZZ_VALIDFRON
AUFK,ZZ_CARDN
AUFK,ZZ_VALIDTO
AUFK,ZZCONDITION
AUFK,ZZ_GLTRP
AUFK,ZZ_GSTRP
AUFK,ZZ_REQ_ORD_APPR
AUFK,ZZASBUILTD
AUFK,ZZDURATION
AUFK,ZZESTCOSTS
AUFK,ZZUNIT
AUFK,ZZ_BU
AUFK,ZZ_AUFNR
AUFK,Z_CREATED_BY
AUFK,Z_RESP_PER
AUFK,Z_RESPONSIBLE
AUFK,Z_TRESP_PER
AUFK,Z_TRESPONSIBLE
AUFK,ZZ_INSPECT_PER
AUFK,ZZ_IRESPONSIBLE
AUFK,Z_CONTRACT_NO
AUFK,ZZ_WOREASON
AUFK,ZZ_QATYPE
AUFK,ZZ_REVCI
AUFK,ZZ_PCTYPE
AUFK,ZZ_SCAFFOLD
AUFK,ZZ_PAINT
AUFK,ZZ_GAS
AUFK,ZZ_INSULATION
AUFK,ZZ_AS_BUILT_PLAN
AUFK,ZZ_PREP
AUFK,ZZ_BLINDING
AUFK,ZZ_MOC
AUFK,ZZ_WOMA
AUFK,ZZ_CRANE
AUFK,ZZ_ELECT
AUFK,ZZ_FURMANITE
AUFK,ZZ_DIAGNOSTIC
AUFK,ZZ_TECH
AUFK,ZZ_PAPATROL
AUFK,ZZ_VENDOR_NAME
AUFK,VNAME
AUFK,RECID
AUFK,ETYPE
AUFK,OTYPE
AUFK,JV_JIBCL
AUFK,JV_JIBSA
AUFK,JV_OCO
AUFK,/CUM/INDCU
AUFK,/CUM/CMNUM
AUFK,/CUM/AUEST
AUFK,/CUM/DESNUM
AUFK,/MRSS/PL_STRU_ID
AUFK,/MRSS/PL_MAN_TYP
AUFK,/MRSS/ORDER_PROB
AUFK,/MRSS/ACT_TYPE
AUFK,/MRSS/INIT_DONE
AUFK,/MRSS/DATACHANGE
AUFK,/MRSS/SALES_ORG
AUFK,/MRSS/NW_BOOKED
AUFK,VAPLZ
AUFK,WAWRK
AUFK,FERC_IND
AUFK,OIHANTYP
AUFK,CLAIM_CONTROL
AUFK,UPDATE_NEEDED
AUFK,UPDATE_CONTROL
AUSP,MANDT
AUSP,OBJEK
AUSP,ATINN
AUSP,ATZHL
AUSP,MAFID
AUSP,KLART
AUSP,ADZHL
AUSP,ATWRT
AUSP,ATFLV
AUSP,ATAWE
AUSP,ATFLB
AUSP,ATAW1
AUSP,ATCOD
AUSP,ATTLV
AUSP,ATTLB
AUSP,ATPRZ
AUSP,ATINC
AUSP,ATAUT
AUSP,AENNR
AUSP,DATUV
AUSP,LKENZ
AUSP,ATIMB
AUSP,ATZIS
AUSP,ATSRT
AUSP,ATVGLART
AUSP,DATUB
CABN,MANDT
CABN,ATINN
CABN,ADZHL
CABN,ATNAM
CABN,ATIDN
CABN,ATFOR
CABN,ANZST
CABN,ANZDZ
CABN,ATVOR
CABN,ATSCH
CABN,ATKLE
CABN,ATKON
CABN,ATEND
CABN,ATAEN
CABN,ATKLA
CABN,ATERF
CABN,ATEIN
CABN,ATAME
CABN,ATWME
CABN,MSEHI
CABN,ATDIM
CABN,ATGLO
CABN,ATGLA
CABN,ATINT
CABN,ATUNS
CABN,ATSON
CABN,ATTAB
CABN,ATFEL
CABN,ATTEI
CABN,ATPRT
CABN,ATPRR
CABN,ATPRF
CABN,ATWRD
CABN,ATFOD
CABN,ATHIE
CABN,ATDEX
CABN,ATFGA
CABN,ATVSC
CABN,ANAME
CABN,ADATU
CABN,VNAME
CABN,VDATU
CABN,ATXAC
CABN,ATYAC
CABN,ATMST
CABN,ATWSO
CABN,ATBSO
CABN,DATUV
CABN,TECHV
CABN,AENNR
CABN,LKENZ
CABN,ATWRI
CABN,DOKAR
CABN,DOKNR
CABN,DOKVR
CABN,DOKTL
CABN,KNOBJ
CABN,ATINP
CABN,ATVIE
CABN,WERKS
CABN,KATALOGART
CABN,AUSWAHLMGE
CABN,ATHKA
CABN,ATHKO
CABN,CLINT
CABN,ATTOL
CABN,ATZUS
CABN,ATVPL
CABN,ATAUTH
CABN,COUNTRYGRP
CAWN,MANDT
CAWN,ATINN
CAWN,ATZHL
CAWN,ADZHL
CAWN,ATWRT
CAWN,ATFLV
CAWN,ATFLB
CAWN,ATCOD
CAWN,ATSTD
CAWN,ATAWE
CAWN,ATAW1
CAWN,ATIDN
CAWN,SPRAS
CAWN,TXTNR
CAWN,DATUV
CAWN,TECHV
CAWN,AENNR
CAWN,LKENZ
CAWN,DOKAR
CAWN,DOKNR
CAWN,DOKVR
CAWN,DOKTL
CAWN,ATZHH
CAWN,KNOBJ
CAWN,ATWHI
CAWN,ATTLV
CAWN,ATTLB
CAWN,ATPRZ
CAWN,ATINC
CAWN,ATVPL
CAWNT,MANDT
CAWNT,ATINN
CAWNT,ATZHL
CAWNT,SPRAS
CAWNT,ADZHL
CAWNT,ATWTB
CAWNT,DATUV
CAWNT,TECHV
CAWNT,AENNR
CAWNT,LKENZ
CDHDR,MANDANT
CDHDR,OBJECTCLAS
CDHDR,OBJECTID
CDHDR,CHANGENR
CDHDR,USERNAME
CDHDR,UDATE
CDHDR,UTIME
CDHDR,TCODE
CDHDR,PLANCHNGNR
CDHDR,ACT_CHNGNO
CDHDR,WAS_PLANND
CDHDR,CHANGE_IND
CDHDR,LANGU
CDHDR,VERSION
CDHDR,_DATAAGING
CDPOS,MANDANT
CDPOS,OBJECTCLAS
CDPOS,OBJECTID
CDPOS,CHANGENR
CDPOS,TABNAME
CDPOS,TABKEY
CDPOS,FNAME
CDPOS,CHNGIND
CDPOS,TEXT_CASE
CDPOS,UNIT_OLD
CDPOS,UNIT_NEW
CDPOS,CUKY_OLD
CDPOS,CUKY_NEW
CDPOS,VALUE_NEW
CDPOS,VALUE_OLD
CDPOS,_DATAAGING
COBK,MANDT
COBK,KOKRS
COBK,BELNR
COBK,GJAHR
COBK,VERSN
COBK,VRGNG
COBK,TIMESTMP
COBK,PERAB
COBK,PERBI
COBK,BLDAT
COBK,BUDAT
COBK,CPUDT
COBK,USNAM
COBK,BLTXT
COBK,STFLG
COBK,STOKZ
COBK,REFBT
COBK,REFBN
COBK,REFBK
COBK,REFGJ
COBK,BLART
COBK,ORGVG
COBK,SUMBZ
COBK,DELBZ
COBK,WSDAT
COBK,KURST
COBK,VARNR
COBK,KWAER
COBK,CTYP1
COBK,CTYP2
COBK,CTYP3
COBK,CTYP4
COBK,AWTYP
COBK,AWORG
COBK,LOGSYSTEM
COBK,CPUTM
COBK,ALEBZ
COBK,ALEBN
COBK,AWSYS
COBK,AWREF_REV
COBK,AWORG_REV
